,problem,correct_solution,intermediate_1,intermediate_2,intermediate_3,intermediate_4
0,"[6, 3, 2, 6] ⋅ [6, 9, 3, 7]",111,36,27,6,42
1,"[4, 8, 5, 2] ⋅ [5, 2, 6, 3]",72,20,16,30,6
2,"[3, 9, 2, 4] ⋅ [2, 7, 3, 2]",83,6,63,6,8
3,"[8, 5, 2, 2] ⋅ [8, 2, 3, 7]",94,64,10,6,14
4,"[4, 2, 9, 6] ⋅ [2, 3, 9, 7]",137,8,6,81,42
5,"[2, 8, 5, 2] ⋅ [8, 5, 4, 3]",82,16,40,20,6
6,"[2, 8, 5, 3] ⋅ [3, 8, 4, 6]",108,6,64,20,18
7,"[5, 2, 3, 8] ⋅ [4, 7, 2, 8]",104,20,14,6,64
8,"[9, 3, 8, 3] ⋅ [5, 5, 4, 2]",98,45,15,32,6
9,"[9, 8, 3, 5] ⋅ [5, 2, 2, 5]",92,45,16,6,25
10,"[7, 8, 8, 2] ⋅ [3, 9, 5, 3]",139,21,72,40,6
11,"[8, 3, 5, 7] ⋅ [5, 2, 7, 2]",95,40,6,35,14
12,"[4, 2, 6, 8] ⋅ [2, 3, 5, 9]",116,8,6,30,72
13,"[9, 3, 9, 5] ⋅ [8, 2, 6, 8]",172,72,6,54,40
14,"[7, 8, 5, 3] ⋅ [5, 8, 9, 2]",150,35,64,45,6
15,"[3, 3, 4, 3] ⋅ [4, 8, 6, 2]",66,12,24,24,6
16,"[5, 2, 2, 4] ⋅ [8, 3, 4, 7]",82,40,6,8,28
17,"[5, 6, 6, 3] ⋅ [7, 9, 5, 2]",125,35,54,30,6
18,"[9, 2, 9, 2] ⋅ [8, 3, 7, 8]",157,72,6,63,16
19,"[9, 4, 5, 2] ⋅ [6, 3, 9, 3]",117,54,12,45,6
20,"[8, 3, 3, 5] ⋅ [7, 2, 8, 6]",116,56,6,24,30
21,"[6, 2, 9, 4] ⋅ [8, 3, 9, 3]",147,48,6,81,12
22,"[3, 4, 2, 7] ⋅ [2, 6, 7, 5]",79,6,24,14,35
23,"[8, 4, 6, 2] ⋅ [3, 7, 7, 3]",100,24,28,42,6
24,"[5, 2, 4, 3] ⋅ [9, 3, 6, 5]",90,45,6,24,15
25,"[4, 7, 4, 3] ⋅ [7, 4, 6, 2]",86,28,28,24,6
26,"[8, 2, 3, 5] ⋅ [6, 5, 2, 3]",79,48,10,6,15
27,"[3, 3, 9, 9] ⋅ [7, 2, 3, 4]",90,21,6,27,36
28,"[4, 2, 5, 8] ⋅ [3, 3, 9, 9]",135,12,6,45,72
29,"[2, 4, 4, 2] ⋅ [2, 7, 8, 3]",70,4,28,32,6
30,"[9, 2, 5, 2] ⋅ [5, 3, 5, 6]",88,45,6,25,12
31,"[2, 8, 2, 4] ⋅ [3, 2, 6, 6]",58,6,16,12,24
32,"[3, 6, 3, 5] ⋅ [2, 2, 8, 7]",77,6,12,24,35
33,"[2, 9, 4, 2] ⋅ [5, 3, 9, 3]",79,10,27,36,6
34,"[8, 3, 2, 2] ⋅ [7, 2, 7, 6]",88,56,6,14,12
35,"[2, 3, 7, 9] ⋅ [3, 9, 8, 2]",107,6,27,56,18
36,"[2, 3, 5, 6] ⋅ [6, 2, 8, 4]",82,12,6,40,24
37,"[2, 7, 3, 3] ⋅ [3, 3, 3, 5]",51,6,21,9,15
38,"[5, 2, 3, 5] ⋅ [3, 2, 2, 8]",65,15,4,6,40
39,"[2, 3, 9, 9] ⋅ [3, 5, 5, 3]",93,6,15,45,27
40,"[7, 5, 2, 5] ⋅ [6, 7, 3, 3]",98,42,35,6,15
41,"[7, 3, 6, 7] ⋅ [5, 2, 3, 7]",108,35,6,18,49
42,"[2, 8, 2, 5] ⋅ [9, 2, 3, 4]",60,18,16,6,20
43,"[3, 3, 3, 6] ⋅ [2, 8, 9, 8]",105,6,24,27,48
44,"[3, 9, 2, 2] ⋅ [6, 7, 3, 2]",91,18,63,6,4
45,"[3, 8, 9, 6] ⋅ [2, 3, 3, 5]",87,6,24,27,30
46,"[9, 3, 6, 7] ⋅ [3, 2, 5, 7]",112,27,6,30,49
47,"[6, 3, 7, 9] ⋅ [5, 2, 9, 4]",135,30,6,63,36
48,"[9, 2, 8, 4] ⋅ [9, 3, 4, 7]",147,81,6,32,28
49,"[3, 7, 4, 6] ⋅ [2, 9, 3, 4]",105,6,63,12,24
50,"[2, 9, 5, 2] ⋅ [8, 4, 8, 3]",98,16,36,40,6
51,"[4, 2, 4, 2] ⋅ [4, 3, 5, 8]",58,16,6,20,16
52,"[9, 8, 2, 5] ⋅ [5, 2, 3, 7]",102,45,16,6,35
53,"[6, 3, 8, 4] ⋅ [3, 2, 8, 7]",116,18,6,64,28
54,"[2, 9, 7, 8] ⋅ [3, 5, 7, 4]",132,6,45,49,32
55,"[3, 8, 9, 3] ⋅ [2, 3, 9, 7]",132,6,24,81,21
56,"[4, 4, 3, 4] ⋅ [5, 3, 2, 2]",46,20,12,6,8
57,"[3, 7, 8, 3] ⋅ [6, 6, 3, 2]",90,18,42,24,6
58,"[5, 9, 2, 8] ⋅ [6, 5, 3, 8]",145,30,45,6,64
59,"[9, 6, 9, 2] ⋅ [7, 8, 6, 3]",171,63,48,54,6
60,"[8, 3, 4, 4] ⋅ [8, 2, 6, 3]",106,64,6,24,12
61,"[3, 8, 2, 7] ⋅ [2, 4, 3, 3]",65,6,32,6,21
62,"[2, 5, 2, 4] ⋅ [7, 7, 3, 3]",67,14,35,6,12
63,"[3, 3, 9, 4] ⋅ [8, 2, 9, 3]",123,24,6,81,12
64,"[3, 3, 6, 2] ⋅ [6, 8, 4, 3]",72,18,24,24,6
65,"[2, 7, 3, 2] ⋅ [9, 2, 3, 3]",47,18,14,9,6
66,"[3, 3, 8, 8] ⋅ [2, 8, 7, 2]",102,6,24,56,16
67,"[8, 2, 2, 3] ⋅ [6, 7, 3, 9]",95,48,14,6,27
68,"[7, 3, 9, 3] ⋅ [7, 2, 9, 8]",160,49,6,81,24
69,"[9, 3, 4, 4] ⋅ [3, 2, 3, 5]",65,27,6,12,20
70,"[2, 9, 6, 2] ⋅ [4, 4, 5, 3]",80,8,36,30,6
71,"[3, 2, 3, 8] ⋅ [2, 5, 9, 2]",59,6,10,27,16
72,"[3, 2, 5, 5] ⋅ [2, 4, 3, 4]",49,6,8,15,20
73,"[4, 4, 8, 3] ⋅ [6, 5, 8, 2]",114,24,20,64,6
74,"[6, 2, 5, 7] ⋅ [5, 3, 8, 3]",97,30,6,40,21
75,"[7, 3, 8, 8] ⋅ [2, 2, 6, 4]",100,14,6,48,32
76,"[3, 4, 8, 6] ⋅ [2, 5, 7, 4]",106,6,20,56,24
77,"[7, 3, 2, 8] ⋅ [6, 2, 9, 2]",82,42,6,18,16
78,"[7, 5, 2, 6] ⋅ [5, 9, 3, 9]",140,35,45,6,54
79,"[5, 3, 2, 5] ⋅ [7, 2, 2, 3]",60,35,6,4,15
80,"[6, 2, 9, 5] ⋅ [9, 3, 4, 9]",141,54,6,36,45
81,"[6, 3, 7, 5] ⋅ [2, 2, 3, 9]",84,12,6,21,45
82,"[4, 9, 3, 2] ⋅ [5, 5, 9, 3]",98,20,45,27,6
83,"[9, 2, 3, 7] ⋅ [9, 3, 7, 6]",150,81,6,21,42
84,"[9, 3, 8, 6] ⋅ [4, 2, 7, 2]",110,36,6,56,12
85,"[8, 5, 2, 5] ⋅ [8, 9, 3, 4]",135,64,45,6,20
86,"[5, 8, 3, 5] ⋅ [2, 8, 2, 7]",115,10,64,6,35
87,"[3, 2, 5, 6] ⋅ [2, 8, 5, 3]",65,6,16,25,18
88,"[5, 2, 8, 5] ⋅ [9, 3, 8, 8]",155,45,6,64,40
89,"[2, 9, 2, 3] ⋅ [3, 7, 4, 7]",98,6,63,8,21
90,"[9, 9, 3, 4] ⋅ [4, 2, 2, 7]",88,36,18,6,28
91,"[6, 3, 8, 3] ⋅ [6, 2, 2, 3]",67,36,6,16,9
92,"[3, 2, 2, 3] ⋅ [4, 2, 5, 2]",32,12,4,10,6
93,"[2, 9, 3, 2] ⋅ [3, 5, 5, 6]",78,6,45,15,12
94,"[5, 6, 4, 2] ⋅ [9, 8, 6, 3]",123,45,48,24,6
95,"[2, 9, 9, 9] ⋅ [3, 3, 7, 8]",168,6,27,63,72
96,"[4, 6, 3, 3] ⋅ [9, 4, 7, 2]",87,36,24,21,6
97,"[9, 8, 4, 2] ⋅ [8, 5, 5, 3]",138,72,40,20,6
98,"[4, 3, 5, 3] ⋅ [6, 4, 7, 2]",77,24,12,35,6
99,"[2, 5, 5, 2] ⋅ [7, 9, 8, 3]",105,14,45,40,6
